timestamp,gpu_id,utilization,mem_usage,temp,power
2024-10-15 18:13:10,3, 85, 0, 44, 45.35
2024-10-15 18:13:15,0, 12, 0, 39, 43.03
2024-10-15 18:13:15,1, 53, 0, 44, 46.14
2024-10-15 18:13:15,2, 6, 0, 44, 43.06
2024-10-15 18:13:15,3, 55, 0, 45, 45.33
2024-10-15 18:13:20,0, 88, 0, 40, 43.39
2024-10-15 18:13:20,1, 87, 0, 44, 46.14
2024-10-15 18:13:20,2, 5, 0, 45, 43.11
2024-10-15 18:13:20,3, 90, 0, 45, 45.06
2024-10-15 18:13:25,0, 5, 0, 40, 42.81
2024-10-15 18:13:25,1, 85, 0, 44, 46.47
2024-10-15 18:13:25,2, 85, 0, 45, 43.21
2024-10-15 18:13:25,3, 86, 0, 45, 44.87
2024-10-15 18:13:30,0, 5, 0, 39, 34.93
2024-10-15 18:13:30,1, 81, 0, 45, 46.53
2024-10-15 18:13:30,2, 85, 0, 45, 43.45
2024-10-15 18:13:30,3, 86, 0, 45, 44.96
2024-10-15 18:13:35,0, 82, 0, 40, 43.37
2024-10-15 18:13:35,1, 5, 0, 45, 45.99
2024-10-15 18:13:35,2, 84, 0, 45, 44.03
2024-10-15 18:13:35,3, 69, 0, 46, 44.96
2024-10-15 18:13:40,0, 25, 0, 40, 42.79
2024-10-15 18:13:40,1, 58, 0, 45, 46.47
2024-10-15 18:13:40,2, 58, 0, 46, 44.17
2024-10-15 18:13:40,3, 70, 0, 46, 44.85
2024-10-15 18:13:45,0, 88, 0, 41, 43.52
2024-10-15 18:13:45,1, 5, 0, 45, 45.99
2024-10-15 18:13:45,2, 48, 0, 46, 44.03
2024-10-15 18:13:45,3, 83, 0, 46, 45.06
2024-10-15 18:13:50,0, 85, 0, 41, 43.29
2024-10-15 18:13:50,1, 5, 0, 46, 46.14
2024-10-15 18:13:50,2, 85, 0, 46, 44.08
2024-10-15 18:13:50,3, 86, 0, 46, 44.85
2024-10-15 18:13:55,0, 1, 0, 41, 42.81
2024-10-15 18:13:55,1, 1, 0, 46, 45.99
2024-10-15 18:13:55,2, 1, 0, 46, 43.69
2024-10-15 18:13:55,3, 1, 0, 46, 44.38
2024-10-15 18:14:00,0, 5, 0, 41, 42.32
2024-10-15 18:14:00,1, 84, 0, 46, 46.81
2024-10-15 18:14:00,2, 84, 0, 47, 44.42
2024-10-15 18:14:00,3, 85, 0, 46, 45.20
2024-10-15 18:14:05,0, 5, 0, 42, 42.66
2024-10-15 18:14:05,1, 83, 0, 46, 46.72
2024-10-15 18:14:05,2, 81, 0, 47, 44.42
2024-10-15 18:14:05,3, 85, 0, 46, 45.30
2024-10-15 18:14:10,0, 33, 0, 42, 42.57
2024-10-15 18:14:10,1, 71, 0, 47, 46.86
2024-10-15 18:14:10,2, 5, 0, 47, 43.93
2024-10-15 18:14:10,3, 61, 0, 47, 45.20
2024-10-15 18:14:16,0, 5, 0, 41, 35.32
2024-10-15 18:14:16,1, 89, 0, 47, 46.62
2024-10-15 18:14:16,2, 83, 0, 47, 44.51
2024-10-15 18:14:16,3, 85, 0, 47, 45.30
2024-10-15 18:14:21,0, 5, 0, 41, 35.22
2024-10-15 18:14:21,1, 88, 0, 47, 46.86
2024-10-15 18:14:21,2, 65, 0, 47, 44.51
2024-10-15 18:14:21,3, 85, 0, 47, 45.39
2024-10-15 18:14:26,0, 5, 0, 42, 42.75
2024-10-15 18:14:26,1, 70, 0, 47, 46.86
2024-10-15 18:14:26,2, 62, 0, 47, 44.42
2024-10-15 18:14:26,3, 61, 0, 47, 45.44
2024-10-15 18:14:31,0, 5, 0, 42, 42.75
2024-10-15 18:14:31,1, 88, 0, 48, 46.96
2024-10-15 18:14:31,2, 83, 0, 48, 44.42
2024-10-15 18:14:31,3, 85, 0, 47, 45.44
2024-10-15 18:14:36,0, 5, 0, 42, 42.75
2024-10-15 18:14:36,1, 60, 0, 48, 47.05
2024-10-15 18:14:36,2, 64, 0, 48, 44.42
2024-10-15 18:14:36,3, 51, 0, 47, 44.81
2024-10-15 18:14:41,0, 5, 0, 42, 42.66
2024-10-15 18:14:41,1, 85, 0, 48, 46.96
2024-10-15 18:14:41,2, 82, 0, 48, 44.51
2024-10-15 18:14:41,3, 82, 0, 47, 45.30
2024-10-15 18:14:46,0, 85, 0, 43, 43.05
2024-10-15 18:14:46,1, 84, 0, 48, 46.96
2024-10-15 18:14:46,2, 90, 0, 48, 44.51
2024-10-15 18:14:46,3, 5, 0, 47, 35.63
2024-10-15 18:14:51,0, 61, 0, 43, 43.14
2024-10-15 18:14:51,1, 47, 0, 48, 46.96
2024-10-15 18:14:51,2, 15, 0, 48, 44.42
2024-10-15 18:14:51,3, 5, 0, 47, 44.81
2024-10-15 18:14:56,0, 91, 0, 43, 43.05
2024-10-15 18:14:56,1, 85, 0, 48, 47.05
2024-10-15 18:14:56,2, 9, 0, 48, 44.17
2024-10-15 18:14:56,3, 5, 0, 47, 44.91
2024-10-15 18:15:01,0, 68, 0, 43, 43.05
2024-10-15 18:15:01,1, 46, 0, 48, 46.86
2024-10-15 18:15:01,2, 5, 0, 48, 44.11
2024-10-15 18:15:01,3, 10, 0, 48, 45.30
2024-10-15 18:15:06,0, 90, 0, 43, 43.39
2024-10-15 18:15:06,1, 85, 0, 48, 47.20
2024-10-15 18:15:06,2, 5, 0, 48, 44.27
2024-10-15 18:15:06,3, 5, 0, 48, 45.06
2024-10-15 18:15:11,0, 90, 0, 44, 43.39
2024-10-15 18:15:11,1, 79, 0, 49, 47.05
2024-10-15 18:15:11,2, 8, 0, 48, 44.42
2024-10-15 18:15:11,3, 5, 0, 48, 45.06
2024-10-15 18:15:16,0, 1, 0, 44, 42.32
2024-10-15 18:15:16,1, 2, 0, 49, 46.42
2024-10-15 18:15:16,2, 2, 0, 49, 43.93
2024-10-15 18:15:16,3, 1, 0, 48, 44.81
2024-10-15 18:15:21,0, 78, 0, 44, 43.24
2024-10-15 18:15:21,1, 90, 0, 49, 47.20
2024-10-15 18:15:21,2, 5, 0, 49, 44.12
2024-10-15 18:15:21,3, 89, 0, 48, 45.44
2024-10-15 18:15:26,0, 82, 0, 44, 43.46
2024-10-15 18:15:26,1, 89, 0, 49, 47.20
2024-10-15 18:15:26,2, 8, 0, 49, 44.17
2024-10-15 18:15:26,3, 5, 0, 48, 45.06
2024-10-15 18:15:31,0, 1, 0, 44, 43.03
2024-10-15 18:15:31,1, 8, 0, 49, 47.05
2024-10-15 18:15:31,2, 28, 0, 49, 44.17
2024-10-15 18:15:31,3, 1, 0, 48, 44.96
2024-10-15 18:15:37,0, 90, 0, 44, 43.14
2024-10-15 18:15:37,1, 78, 0, 49, 47.20
2024-10-15 18:15:37,2, 5, 0, 49, 44.27
2024-10-15 18:15:37,3, 5, 0, 47, 35.63
2024-10-15 18:15:42,0, 90, 0, 44, 42.81
2024-10-15 18:15:42,1, 83, 0, 49, 47.05
2024-10-15 18:15:42,2, 5, 0, 49, 44.11
2024-10-15 18:15:42,3, 6, 0, 48, 44.96
2024-10-15 18:15:47,0, 91, 0, 44, 43.48
2024-10-15 18:15:47,1, 91, 0, 49, 47.05
2024-10-15 18:15:47,2, 5, 0, 48, 36.31
2024-10-15 18:15:47,3, 90, 0, 48, 45.44
2024-10-15 18:15:52,0, 90, 0, 45, 43.14
2024-10-15 18:15:52,1, 91, 0, 50, 47.29
2024-10-15 18:15:52,2, 5, 0, 48, 36.07
2024-10-15 18:15:52,3, 90, 0, 48, 45.20
2024-10-15 18:15:57,0, 90, 0, 45, 43.14
2024-10-15 18:15:57,1, 90, 0, 50, 47.53
2024-10-15 18:15:57,2, 5, 0, 48, 36.07
2024-10-15 18:15:57,3, 71, 0, 48, 45.78
2024-10-15 18:16:02,0, 84, 0, 45, 43.39
2024-10-15 18:16:02,1, 90, 0, 50, 47.05
2024-10-15 18:16:02,2, 5, 0, 48, 36.16
2024-10-15 18:16:02,3, 9, 0, 48, 45.06
2024-10-15 18:16:07,0, 67, 0, 45, 43.37
2024-10-15 18:16:07,1, 81, 0, 50, 47.20
2024-10-15 18:16:07,2, 5, 0, 48, 36.16
2024-10-15 18:16:07,3, 78, 0, 49, 45.44
2024-10-15 18:16:12,0, 91, 0, 45, 43.48
2024-10-15 18:16:12,1, 90, 0, 50, 47.20
2024-10-15 18:16:12,2, 90, 0, 48, 44.51
2024-10-15 18:16:12,3, 5, 0, 49, 45.06
2024-10-15 18:16:17,0, 90, 0, 45, 43.48
2024-10-15 18:16:17,1, 90, 0, 50, 47.29
2024-10-15 18:16:17,2, 61, 0, 48, 44.17
2024-10-15 18:16:17,3, 5, 0, 49, 45.06
2024-10-15 18:16:22,0, 79, 0, 45, 43.29
2024-10-15 18:16:22,1, 79, 0, 50, 47.53
2024-10-15 18:16:22,2, 5, 0, 49, 44.36
2024-10-15 18:16:22,3, 9, 0, 48, 43.12
2024-10-15 18:16:27,0, 85, 0, 45, 43.48
2024-10-15 18:16:27,1, 90, 0, 50, 47.20
2024-10-15 18:16:27,2, 5, 0, 49, 44.27
2024-10-15 18:16:27,3, 89, 0, 49, 45.87
2024-10-15 18:16:32,0, 80, 0, 45, 43.24
2024-10-15 18:16:32,1, 90, 0, 50, 47.39
2024-10-15 18:16:32,2, 5, 0, 49, 44.36
2024-10-15 18:16:32,3, 7, 0, 49, 45.63
2024-10-15 18:16:37,0, 1, 0, 45, 42.57
2024-10-15 18:16:37,1, 1, 0, 50, 46.57
2024-10-15 18:16:37,2, 2, 0, 48, 35.83
2024-10-15 18:16:37,3, 1, 0, 49, 44.81
2024-10-15 18:16:42,0, 85, 0, 46, 43.29
2024-10-15 18:16:42,1, 90, 0, 50, 47.29
2024-10-15 18:16:42,2, 5, 0, 49, 40.16
2024-10-15 18:16:42,3, 5, 0, 49, 45.06
2024-10-15 18:16:47,0, 66, 0, 46, 43.29
2024-10-15 18:16:47,1, 66, 0, 50, 47.29
2024-10-15 18:16:47,2, 5, 0, 49, 44.36
2024-10-15 18:16:47,3, 80, 0, 49, 45.63
2024-10-15 18:16:52,0, 2, 0, 46, 42.57
2024-10-15 18:16:52,1, 1, 0, 50, 46.57
2024-10-15 18:16:52,2, 1, 0, 49, 44.12
2024-10-15 18:16:52,3, 2, 0, 49, 44.72
2024-10-15 18:16:57,0, 73, 0, 46, 43.39
2024-10-15 18:16:57,1, 60, 0, 50, 46.96
2024-10-15 18:16:57,2, 20, 0, 49, 44.36
2024-10-15 18:16:57,3, 6, 0, 49, 45.15
2024-10-15 18:17:03,0, 90, 0, 46, 43.48
2024-10-15 18:17:03,1, 85, 0, 50, 47.20
2024-10-15 18:17:03,2, 5, 0, 49, 44.17
2024-10-15 18:17:03,3, 87, 0, 49, 45.78
2024-10-15 18:17:08,0, 85, 0, 46, 43.48
2024-10-15 18:17:08,1, 85, 0, 50, 47.29
2024-10-15 18:17:08,2, 5, 0, 49, 44.36
2024-10-15 18:17:08,3, 89, 0, 49, 45.78
2024-10-15 18:17:13,0, 91, 0, 46, 43.53
2024-10-15 18:17:13,1, 85, 0, 50, 47.29
2024-10-15 18:17:13,2, 5, 0, 49, 44.59
2024-10-15 18:17:13,3, 6, 0, 49, 36.22
2024-10-15 18:17:18,0, 91, 0, 46, 43.48
2024-10-15 18:17:18,1, 85, 0, 51, 47.63
2024-10-15 18:17:18,2, 5, 0, 49, 44.17
2024-10-15 18:17:18,3, 36, 0, 49, 45.44
2024-10-15 18:17:23,0, 67, 0, 46, 43.62
2024-10-15 18:17:23,1, 67, 0, 51, 47.53
2024-10-15 18:17:23,2, 78, 0, 50, 44.85
2024-10-15 18:17:23,3, 5, 0, 49, 44.96
2024-10-15 18:17:28,0, 80, 0, 46, 43.39
2024-10-15 18:17:28,1, 77, 0, 51, 47.44
2024-10-15 18:17:28,2, 5, 0, 50, 44.25
2024-10-15 18:17:28,3, 6, 0, 49, 45.30
2024-10-15 18:17:33,0, 18, 0, 46, 43.24
2024-10-15 18:17:33,1, 72, 0, 51, 47.63
2024-10-15 18:17:33,2, 35, 0, 50, 44.51
2024-10-15 18:17:33,3, 60, 0, 49, 45.44
2024-10-15 18:17:38,0, 84, 0, 46, 43.77
2024-10-15 18:17:38,1, 82, 0, 51, 47.44
2024-10-15 18:17:38,2, 5, 0, 50, 44.36
2024-10-15 18:17:38,3, 5, 0, 49, 45.20
2024-10-15 18:17:43,0, 83, 0, 46, 44.20
2024-10-15 18:17:43,1, 70, 0, 51, 47.63
2024-10-15 18:17:43,2, 5, 0, 50, 44.35
2024-10-15 18:17:43,3, 12, 0, 49, 45.20
2024-10-15 18:17:48,0, 84, 0, 46, 44.54
2024-10-15 18:17:48,1, 84, 0, 51, 47.20
2024-10-15 18:17:48,2, 5, 0, 50, 44.36
2024-10-15 18:17:48,3, 90, 0, 49, 45.87
2024-10-15 18:17:53,0, 91, 0, 46, 44.19
2024-10-15 18:17:53,1, 90, 0, 51, 47.53
2024-10-15 18:17:53,2, 5, 0, 50, 44.36
2024-10-15 18:17:53,3, 84, 0, 49, 45.54
2024-10-15 18:17:58,0, 2, 0, 47, 43.48
2024-10-15 18:17:58,1, 2, 0, 51, 46.90
2024-10-15 18:17:58,2, 2, 0, 50, 44.03
2024-10-15 18:17:58,3, 2, 0, 48, 35.30
2024-10-15 18:18:03,0, 82, 0, 47, 44.20
2024-10-15 18:18:03,1, 79, 0, 51, 47.39
2024-10-15 18:18:03,2, 90, 0, 50, 44.99
2024-10-15 18:18:03,3, 5, 0, 48, 35.72
2024-10-15 18:18:08,0, 15, 0, 46, 43.72
2024-10-15 18:18:08,1, 23, 0, 51, 47.20
2024-10-15 18:18:08,2, 37, 0, 50, 44.51
2024-10-15 18:18:08,3, 38, 0, 47, 35.98
2024-10-15 18:18:13,0, 33, 0, 46, 44.11
2024-10-15 18:18:13,1, 1, 0, 51, 47.15
2024-10-15 18:18:13,2, 8, 0, 50, 44.36
2024-10-15 18:18:13,3, 7, 0, 49, 44.96
2024-10-15 18:18:18,0, 41, 0, 47, 44.11
2024-10-15 18:18:18,1, 34, 0, 51, 47.78
2024-10-15 18:18:18,2, 6, 0, 50, 36.39
2024-10-15 18:18:18,3, 5, 0, 49, 45.20
2024-10-15 18:18:24,0, 85, 0, 47, 43.72
2024-10-15 18:18:24,1, 91, 0, 51, 47.63
2024-10-15 18:18:24,2, 50, 0, 50, 44.51
2024-10-15 18:18:24,3, 11, 0, 49, 45.39
2024-10-15 18:18:29,0, 84, 0, 47, 44.44
2024-10-15 18:18:29,1, 90, 0, 51, 47.44
2024-10-15 18:18:29,2, 87, 0, 50, 45.09
2024-10-15 18:18:29,3, 5, 0, 49, 45.30
2024-10-15 18:18:34,0, 7, 0, 47, 43.96
2024-10-15 18:18:34,1, 80, 0, 51, 47.63
2024-10-15 18:18:34,2, 20, 0, 50, 44.75
2024-10-15 18:18:34,3, 17, 0, 49, 45.39
2024-10-15 18:18:39,0, 84, 0, 47, 44.11
2024-10-15 18:18:39,1, 90, 0, 51, 47.63
2024-10-15 18:18:39,2, 5, 0, 50, 44.27
2024-10-15 18:18:39,3, 5, 0, 49, 45.87
2024-10-15 18:18:44,0, 65, 0, 47, 44.30
2024-10-15 18:18:44,1, 84, 0, 51, 47.53
2024-10-15 18:18:44,2, 5, 0, 50, 44.61
